X1,WT_ratio_1,WT_ratio_2,WT_ratio_3,rrp6_ratio_1,rrp6_ratio_2,rrp6_ratio_3,upf1_ratio_1,upf1_ratio_2,upf1_ratio_3,u_r_ratio_1,u_r_ratio_2,u_r_ratio_3,WT_vs_rrp6_pval,WT_vs_upf1_pval,WT_vs_u_r_pval
YOL047C_intron,0.203125,0.189655172,0.162303665,0.146766169,0.167095116,0.154761905,0.171122995,0.191823899,0.177514793,0.146596859,0.148669797,0.176890157,0.183986886,0.762190537,0.328784445
YOL048C_intron,0.040951123,0.031168831,0.026094276,0.034241789,0.0273794,0.022488756,0.043304464,0.042537313,0.040328603,0.043498597,0.04007177,0.038502674,0.042812562,0.121288437,0.11031601
YOL120C_intron,0.003995946,0.003814874,0.003429971,0.009263406,0.009790891,0.012916383,0.007472109,0.006742854,0.007333312,0.027084671,0.030878743,0.026672348,0.033834351,0.006682496,0.002812501
YOL121C_intron,0.01674955,0.018154446,0.017081758,0.019194911,0.018375373,0.021004399,0.032588088,0.031146865,0.033319857,0.03763763,0.040365327,0.035922852,0.177969453,0.004594543,0.002246427
YOL127W_intron,0.042827819,0.04115622,0.03839333,0.040358476,0.042145687,0.04038432,0.042994536,0.042034979,0.040861921,0.041909858,0.04087441,0.044125891,0.911190772,0.227292394,0.54975667
YOR096W_intron,0.019063265,0.017522695,0.02036606,0.021200968,0.019930987,0.021356886,0.025288368,0.025290216,0.025068775,0.034207596,0.038301134,0.03905006,0.051198147,0.019566477,0.008060562
YOR122C_intron,0.038418605,0.038784067,0.039186067,0.042752294,0.037198584,0.038081253,0.056421356,0.053289754,0.056867892,0.0720333,0.080886141,0.076730229,0.800040331,0.004420642,0.004192789
YOR182C_intron,0.051709154,0.048461985,0.047309967,0.072583826,0.061265744,0.058194957,0.115682672,0.11586684,0.116091508,0.115486922,0.109827332,0.127978217,0.03992777,0.00045878,0.007743591
YOR234C_intron,0.029271131,0.029105716,0.02973107,0.032975739,0.029959514,0.033145574,0.038787003,0.03656668,0.037672543,0.04891726,0.04617087,0.047006194,0.099182561,0.005535919,0.002108094
YOR293W_intron,0.019362415,0.01944026,0.018632567,0.025292328,0.024482262,0.026188453,0.029223372,0.02776582,0.030834596,0.048219542,0.049294872,0.044331196,0.013908232,0.012154801,0.001976081
YOR312C_intron,0.018285185,0.016144465,0.019999591,0.017587717,0.017225675,0.017358902,0.036110334,0.032143959,0.034706523,0.041018521,0.041671142,0.039581865,0.556403915,0.003111753,0.005715639
YOR318C_intron,0.794642857,0.794871795,0.602040816,0.797235023,0.975845411,0.862068966,0.778793419,0.827411168,0.92687747,0.924701561,0.851720047,0.910973085,0.191617445,0.396719093,0.157970362
YPL031C_intron,0.028839221,0.033126294,0.012970169,0.030201342,0.037743042,0.029064869,0.038283063,0.025655977,0.037940379,0.044758186,0.047654505,0.045316199,0.241376276,0.438855997,0.06726986
YPL075W_intron,0.410841041,0.419498112,0.397284665,0.542789078,0.492650873,0.540232227,0.393892869,0.407203691,0.411736021,0.474051789,0.47550234,0.463611525,0.033149944,0.664329722,0.002434034
YPL079W_intron,0.036397028,0.041933637,0.04045281,0.050688285,0.043061506,0.047045022,0.053645069,0.048412096,0.056849453,0.07616677,0.080076177,0.069755813,0.19459772,0.060774295,0.008177658
YPL081W_intron,0.110898662,0.088177428,0.105628785,0.468621591,0.436247263,0.436719478,0.196575435,0.211200477,0.190903348,0.487149702,0.517661795,0.515462316,0.00050688,0.01592595,0.001467966
YPL090C_intron,0.015076758,0.015420588,0.015870797,0.015459027,0.015587916,0.015833149,0.018231998,0.017284402,0.01713017,0.023229341,0.023139383,0.022940134,0.294542058,0.0645463,0.001690055
YPL109C_intron,0.047887324,0.069057105,0.061843641,0.056751468,0.06421152,0.064974619,0.071770335,0.060606061,0.045703839,0.083023544,0.086153846,0.104078762,0.609709338,0.986395173,0.052089544
YPL129W_intron,0.018042813,0.01602262,0.015544041,0.014510278,0.023332336,0.017851347,0.051247652,0.058090186,0.048969697,0.055227755,0.059732541,0.053475936,0.583784396,0.006424055,0.002698667
